filename	line_number	log_type	log_message	description
src/gtfs/read.rs	335	PANIC	Problem reading stop_times.txt: stop_id=<stop_time.stop_id> not found	if the  `stop_time` refers to a `stop_point` which doesn't exist
src/read_utils.rs	138	PANIC		if file `frequencies.txt` can't be opened in the folder (`PathFileHandler`)
src/read_utils.rs	187	PANIC		if file `frequencies.txt` can't be opened inside the ZIP archive (`ZipHandler`)
src/gtfs/read.rs	938	INFO		[_Reading frequencies.txt_]
src/gtfs/read.rs	941	INFO	Skipping frequencies.txt	if the file doesn't exist
src/gtfs/read.rs	946	PANIC		if a line of `frequencies.txt` cannot be deserialized into a `Frequency` object
src/gtfs/read.rs	954	WARN/IGNORE	frequency for trip <frequency.trip_id> has same start and end time	if the `frequency` start time and end time are the same
src/gtfs/read.rs	964	WARN/IGNORE	frequency mapped to an unexisting trip <frequency.trip_id>	if the `frequency` refers to a `vehicle_journey` which doesn't exist
src/gtfs/read.rs	975	WARN/IGNORE	frequency mapped to trip <frequency.trip_id> with no stop_times	if the `vehicle_journey` relative to the `frequency` doesn't have any `stop_time`
src/gtfs/read.rs	996	PANIC		if the `vehicle_journey` relative to the `frequency` refers to a `calendar` which doesn't exist
src/gtfs/read.rs	1051	PANIC	<id> already found	if at least 2 `vehicle_journey` have conflicting identifier (after `frequency` have been exploded into `stop_time`)
src/model.rs	353	PANIC	<id> already found	if at least 2 `dataset` have conflicting identifier
src/model.rs	391	PANIC	<id> already found	if at least 2 `line` have conflicting identifier
src/model.rs	393	PANIC	<id> already found	if at least 2 `stop_point` have conflicting identifier
src/model.rs	405	PANIC	<id> already found	if at least 2 `stop_area` have conflicting identifier
src/model.rs	407	PANIC	<id> already found	if at least 2 `route` have conflicting identifier
src/model.rs	410	PANIC	<id> already found	if at least 2 `vehicle_journey` have conflicting identifier
src/model.rs	551	PANIC	Invalid id: transfer.from_stop_id=<transfer.from_stop_id>	if a `transfer` refers to an existing `stop_point`
src/model.rs	551	PANIC	Invalid id: transfer.to_stop_id=<transfer.to_stop_id>	if a `transfer` refers to an existing `stop_point`
relations/src/relations.rs	219	PANIC	id=<vehicle_journey.route_id> not found	if a `vehicle_journey` refers to a `route` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<vehicle_journey.physical_mode_id> not found	if a `vehicle_journey` refers to a `physical_mode` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<vehicle_journey.dataset_id> not found	if a `vehicle_journey` refers to a `dataset` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<line.network_id> not found	if a `line` refers to a `network` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<line.commercial_mode_id> not found	if a `line` refers to a `commercial_mode` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<route.line_id> not found	if a `route` refers to a `line` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<stop_point.stop_area_id> not found	if a `stop_point` refers to a `stop_area` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<dataset.contributor_id> not found	if a `dataset` refers to a `contributor` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<vehicle_journey.company_id> not found	if a `vehicle_journey` refers to a `company` which doesn't exist
relations/src/relations.rs	219	PANIC	id=<vehicle_journey.service_id> not found	if a `vehicle_journey` refers to a `calendar` which doesn't exist
